event_id,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor_1,assoc_actor1,inter1,actor2,assoc_actor2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SOM54707,01-January-2026,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of the United States (2025-),,8,Islamic State Somalia Province,,2,28,,706,Eastern Africa,Somalia,Bari,Bossaso,,Balade,11.2761,49.164,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 1 January 2026, US forces conducted airstrikes targeting Islamic State Somalia Province position in the vicinity of the Golis Mountains, in Tooga Balade (Bossaso, Bari). Casualties unknown.",0,,1769546450
SOM54708,01-January-2026,2026,1,Demonstrations,Protests,Peaceful protest,Protesters (Somalia),Labor Group (Somalia),6,,,0,60,,706,Eastern Africa,Somalia,Bari,Bossaso,,Bosaso,11.2842,49.1816,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 1 January 2026, workers protested in Bosaso town (Bossaso, Bari) after the suspension of casual workers. The Bosaso port is run by the UAE-based DP World.",0,crowd size=no report,1769546450
SOM54709,01-January-2026,2026,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,2,Civilians (Somalia),,7,27,Civilian targeting,706,Eastern Africa,Somalia,Hiraan,Jalalaqsi,,Jalalaqsi,3.3834,45.5969,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 1 January 2026, IED planted by likely Al Shabaab exploded, targeting civilians at a busy market in Jalalaqsi town (Jalalaqsi, Hiraan). 1 person was killed, and 3 others were injured.",1,,1768354736
SOM54710,01-January-2026,2026,1,Political violence,Battles,Armed clash,Hawiye-Hawadle Sub-Clan Militia (Somalia),,4,Al Shabaab,,2,24,,706,Eastern Africa,Somalia,Hiraan,Jalalaqsi,,Tarda,3.5676,45.9656,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 1 January 2026, Hawiye-Hawadle sub-clan militia clashed with Al Shabaab in the vicinity of Tarda village (Jalalaqsi, Hiraan). 2 Al Shabaab were killed, and 2 AK-47 rifles were seized.",2,,1768354736
SOM54188,02-January-2026,2026,1,Demonstrations,Protests,Peaceful protest,Protesters (Somalia),,6,,,0,60,,706,Eastern Africa,Somalia,Awdal,Borama,,Borama,9.9387,43.1839,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, residents protested in Borama town (Borama, Awdal) against Israel's recognition of the Somaliland administration.",0,crowd size=no report,1772496257
SOM54189,02-January-2026,2026,1,Political violence,Battles,Armed clash,Dir-Ciise Sub-Clan Militia (Somalia),,4,Dir-Gadabuursi Sub-Clan Militia (Somalia),,4,44,,706,Eastern Africa,Somalia,Awdal,Borama,,Borama,9.9387,43.1839,2,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, Cisse and Samrooon clan militias clashed on the outskirts of Abdulqadiir village near Borama town (Borama, Awdal) over a land dispute and the Xeer Cisse book. Casualties unknown.",0,,1768354736
SOM54195,02-January-2026,2026,1,Demonstrations,Protests,Peaceful protest,Protesters (Somalia),Al Shabaab,6,,,0,60,,706,Eastern Africa,Somalia,Middle Juba,Bu'aale,,Buaale,1.2448,42.5732,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, residents protested after Friday prayers in Buaale town (Bu'aale, Middle Juba) against Israel's recognition of the Somaliland administration. Al Shabaab organized the protest.",0,crowd size=no report,1772496257
SOM54201,02-January-2026,2026,1,Demonstrations,Protests,Peaceful protest,Protesters (Somalia),Al Shabaab,6,,,0,60,,706,Eastern Africa,Somalia,Hiraan,Bulo Burto,,Buqda Caqable,4.0601,45.2577,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, residents protested in Buqda Caqable village (Bulo Burto, Hiraan) against Israel's recognition of the Somaliland administration. Al Shabaab organized the protest.",0,crowd size=no report,1772496257
SOM54211,02-January-2026,2026,1,Demonstrations,Protests,Peaceful protest,Protesters (Somalia),Al Shabaab,6,,,0,60,,706,Eastern Africa,Somalia,Bay,Buur Hakaba,,Buulo Fulaay,2.1106,43.5233,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, residents protested in Buulo Fulaay town (Buur Hakaba, Bay) against Israel's recognition of the Somaliland administration. Al Shabaab organized the protest.",0,crowd size=no report,1772496257
SOM54219,02-January-2026,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Unidentified Military Forces,Military Forces of Somalia (2022-),8,Al Shabaab,,2,28,,706,Eastern Africa,Somalia,Middle Shabelle,Cadale,,Cadale,2.7603,46.3222,2,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, international forces (coded as Unidentified Military Forces) and government security forces (SNA) launched an airstrike against Al Shabaab position between Wargaadhi and Cadale town (Balcad, Middle Shabelle). Casualties unknown.",0,,1768354736
SOM54266,02-January-2026,2026,1,Strategic developments,Strategic developments,Change to group/activity,Al Shabaab,,2,,,0,20,,706,Eastern Africa,Somalia,Gedo,Garbahaarey,,Geriley,3.22,42.63,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"Movement of forces: On 2 January 2026, Al Shabaab were seen moving in the Dibac Garoon area in Geriley village (Garbahaarey, Gedo) after a vehicle was stolen.",0,,1776191110
SOM54268,02-January-2026,2026,1,Demonstrations,Protests,Peaceful protest,Protesters (Somalia),,6,,,0,60,,706,Eastern Africa,Somalia,Galgaduud,Dhuusamarreeb,,Guri-Ceel,5.3083,45.8774,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, residents protested in Guri-Ceel town (Dhuusamarreeb, Galgaduud) against Israel's recognition of the Somaliland administration.",0,crowd size=no report,1772496257
SOM54272,02-January-2026,2026,1,Demonstrations,Protests,Peaceful protest,Protesters (Somalia),Al Shabaab,6,,,0,60,,706,Eastern Africa,Somalia,Lower Shabelle,Baraawe,,Haawaay,1.1685,43.7143,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, some residents protested in Haawaay village (Baraawe, Lower Shabelle) against Israel's recognition of the Somaliland administration. Al Shabaab organized the protest.",0,crowd size=some,1772496257
SOM54285,02-January-2026,2026,1,Demonstrations,Protests,Peaceful protest,Protesters (Somalia),ASWJ: Ahlu Sunna Wal Jamaa,6,,,0,60,,706,Eastern Africa,Somalia,Galgaduud,Cabudwaaq,,Hurshe,6.1201,46.3153,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, residents and Ahlu Sunaa Waljamaac protested in Hurshe village (Cabudwaaq, Galgaduud) against Israel's recognition of the Somaliland administration.",0,crowd size=no report,1772496257
SOM54300,02-January-2026,2026,1,Demonstrations,Protests,Peaceful protest,Protesters (Somalia),Al Shabaab,6,,,0,60,,706,Eastern Africa,Somalia,Middle Juba,Jilib,,Jilib,0.4833,42.7666,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, residents protested after Friday prayers at the Hawlwadaag area in Jilib town (Jilib, Middle Shabelle) against Israel's recognition of the Somaliland administration. Al Shabaab organized the protest.",0,crowd size=no report,1772496257
SOM54303,02-January-2026,2026,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,2,Civilians (Somalia),Government of Somalia (2022-) Hirshabelle Administration,7,27,Civilian targeting,706,Eastern Africa,Somalia,Middle Shabelle,Jowhar,,Jowhar,2.7797,45.5042,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, an IED planted by Al Shabaab exploded, targeting Hirshabelle local officials convoy in Jiiro Carmoole area at the Bula Xanshooley neighborhood in Jowhar town (Jowhar, Middle Shabelle). The Hirshabelle state president survived the assassination attempt. Al Shabaab claimed to have injured 5 local officials..",0,local administrators,1768354736
SOM54317,02-January-2026,2026,1,Demonstrations,Protests,Peaceful protest,Protesters (Somalia),Al Shabaab,6,,,0,60,,706,Eastern Africa,Somalia,Lower Shabelle,Kurtunwaarey,,Kurtunwaarey,1.6104,44.3329,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, residents protested in Kurtunwaarey town (Kurtunwaarey, Lower Shabelle) against Israel's recognition of the Somaliland administration. Al Shabaab organized the protest.",0,crowd size=no report,1772496257
SOM54334,02-January-2026,2026,1,Demonstrations,Protests,Peaceful protest,Protesters (Somalia),,6,,,0,60,,706,Eastern Africa,Somalia,Hiraan,Belet Weyne,,Matabaan,5.1994,45.5252,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, residents and local officials protested in Matabaan town (Belet Weyne, Hiraan) against Israel's recognition of the Somaliland administration.",0,crowd size=no report,1772496257
SOM54346,02-January-2026,2026,1,Demonstrations,Protests,Peaceful protest,Protesters (Somalia),,6,,,0,60,,706,Eastern Africa,Somalia,Banadir,Banadir,,Mogadishu - Hodan,2.0376,45.3058,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, residents protested in Mogadishu - Hodan (Banadir) against Israel's recognition of the Somaliland administration.",0,crowd size=no report,1772496257
SOM54386,02-January-2026,2026,1,Demonstrations,Protests,Peaceful protest,Protesters (Somalia),Al Shabaab,6,,,0,60,,706,Eastern Africa,Somalia,Middle Juba,Saakow,,Saakow,1.6394,42.4522,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, residents protested after Friday prayers in Saakow town (Saakow, Middle Juba) against Israel's recognition of the Somaliland administration. Al Shabaab organized the protest.",0,crowd size=no report,1772496257
SOM54391,02-January-2026,2026,1,Demonstrations,Protests,Peaceful protest,Protesters (Somalia),,6,,,0,60,,706,Eastern Africa,Somalia,Awdal,Zeylac,,Saylac,11.3539,43.4731,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, residents protested in Saylac town (Zeylac, Awdal) against Israel's recognition of the Somaliland administration.",0,crowd size=no report,1772496257
SOM54398,02-January-2026,2026,1,Demonstrations,Protests,Peaceful protest,Protesters (Somalia),Al Shabaab,6,,,0,60,,706,Eastern Africa,Somalia,Hiraan,Jalalaqsi,,Shaw,3.4166,45.4085,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, residents protested in Shaw village (Jalalaqsi, Hiraan) against Israel's recognition of the Somaliland administration. Al Shabaab organized the protest.",0,crowd size=no report,1772496257
SOM54401,02-January-2026,2026,1,Political violence,Battles,Armed clash,Military Forces of Somalia (2022-) Special Forces,,1,Al Shabaab,,2,12,,706,Eastern Africa,Somalia,Middle Shabelle,Cadale,,Sumadaale,2.9194,46.0998,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, government security forces (Gorgor) clashed with Al Shabaab position in Sumadaale village (Cadale, Middle Shabelle). There were no casualties.",0,,1768354736
SOM54407,02-January-2026,2026,1,Demonstrations,Protests,Peaceful protest,Protesters (Somalia),Al Shabaab,6,,,0,60,,706,Eastern Africa,Somalia,Bakool,Tayeeglow,,Tayeeglow,4.0182,44.5127,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, residents protested in Tayeeglow town (Tayeeglow, Bakool)against Israel's recognition of the Somaliland administration. Al Shabaab organized the protest.",0,crowd size=no report,1772496257
SOM54409,02-January-2026,2026,1,Political violence,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),Hawiye-Abgal Sub-Clan Militia (Somalia),1,12,,706,Eastern Africa,Somalia,Middle Shabelle,Jowhar,,Towfiiq,2.7565,45.6466,2,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, Al Shabaab clashed with government security forces (SNA) and Hawiye-Abgal sub-clan militia in Godka Galayda and Shoolka area near Towfiiq village (Jowhar, Middle Shabelle). An unknown number of soldiers and militants were killed and wounded. Unspecified number of fatalities coded as 3.",3,,1768354736
SOM54415,02-January-2026,2026,1,Political violence,Battles,Non-state actor overtakes territory,Al Shabaab,,2,Military Forces of Somalia (2022-),Hawiye-Abgal Sub-Clan Militia (Somalia),1,12,,706,Eastern Africa,Somalia,Middle Shabelle,Cadale,,Wargaadhi,3.2033,46.5681,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, Al Shabaab clashed with government security forces (SNA) and Hawiye-Abgal sub-clan militia at a base in Wargaadhi village (Cadale, Middle Shabelle). Al Shabaab took control over the village (initial takeover by SNA/Hawiye-Abgal sub-clan militia unclear). An unknown number of soldiers were killed and wounded. Unspecified number of fatalities coded as 3. Al Shabaab claimed responsibility.",3,,1768354736
SOM54416,02-January-2026,2026,1,Strategic developments,Strategic developments,Change to group/activity,Military Forces of Somalia (2022-),,1,,,0,10,,706,Eastern Africa,Somalia,Middle Shabelle,Cadale,,Wargaadhi,3.2033,46.5681,2,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"Movement of forces: On 2 January 2026, government security forces (SNA) were deployed in 5km to Wargaadhi village (Cadale, Middle Shabelle), where Al Shabaab was present in the area.",0,,1768354736
SOM54427,02-January-2026,2026,1,Political violence,Battles,Armed clash,Military Forces of Somalia (2022-) Special Forces,,1,Al Shabaab,,2,12,,706,Eastern Africa,Somalia,Middle Shabelle,Cadale,,Xaaji-Cali,2.9192,46.2173,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, government security forces (Gorgor) clashed with Al Shabaab position in Xaaji-Cali village (Cadale, Middle Shabelle). There were no casualties.",0,,1768354736
SOM54605,02-January-2026,2026,1,Political violence,Battles,Armed clash,Military Forces of Somalia (2022-) Puntland Dervish Force,,1,Islamic State Somalia Province,,2,12,,706,Eastern Africa,Somalia,Bari,Qandala,,Daanyo,11.0771,50.1374,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, Puntland Dervish Force clashed with Islamic State Somalia Province in Daanyo village (Qandala, Bari). The security forces destroyed hideouts and bases. There were no casualties.",0,,1776191110
SOM54606,02-January-2026,2026,1,Political violence,Battles,Armed clash,Military Forces of Somalia (2022-) Puntland Dervish Force,,1,Islamic State Somalia Province,,2,12,,706,Eastern Africa,Somalia,Bari,Qandala,,Dasaan,11.1703,49.8239,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, Puntland Dervish Force clashed with Islamic State Somalia Province in Dasaan village (Qandala, Bari). The security forces destroyed hideouts and bases. There were no casualties.",0,,1768354736
SOM54607,02-January-2026,2026,1,Strategic developments,Strategic developments,Change to group/activity,Military Forces of Somaliland (2024-),,1,,,0,10,,706,Eastern Africa,Somalia,Awdal,Zeylac,,Jidhi,10.6227,43.0706,2,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"Movement of forces: On 2 January 2026, Somaliland forces withdrew from the bases in Heemaal village near Jidhi town (Zeylac, Awdal) amid tensions between clans in the area.",0,,1768354736
SOM54608,02-January-2026,2026,1,Political violence,Battles,Armed clash,Military Forces of Somalia (2022-) Puntland Dervish Force,,1,Islamic State Somalia Province,,2,12,,706,Eastern Africa,Somalia,Bari,Qandala,,Sixna,11.061,50.2123,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, Puntland Dervish Force clashed with Islamic State Somalia Province in Sixna village (Qandala, Bari). The security forces destroyed hideouts and bases. There were no casualties.",0,,1768354736
SOM54711,02-January-2026,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of the United States (2025-),,8,Islamic State Somalia Province,,2,28,,706,Eastern Africa,Somalia,Bari,Bossaso,,Balade,11.2761,49.164,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, US forces conducted airstrikes targeting Islamic State Somalia Province position in the vicinity of the Golis Mountains, in Tooga Balade (Bossaso, Bari). Casualties unknown.",0,,1769546450
SOM54712,02-January-2026,2026,1,Political violence,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-) Jubaland Security Force,,1,12,,706,Eastern Africa,Somalia,Lower Juba,Jamaame,,Bar-Sanguun,-0.0416,42.5945,2,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, Al Shabaab clashed with Jubaland security forces (SNA) at a checkpoint between Singaleyr village and Faragogo Bridge, near Bar-Sanguun village (Jamaame, Lower Juba). There were no casualties.",0,,1768354736
SOM54713,02-January-2026,2026,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Al Shabaab,,2,Military Forces of Somalia (2022-),Military Forces of Somalia (2022-) Jubaland Security Force,1,12,,706,Eastern Africa,Somalia,Lower Juba,Jamaame,,Bar-Sanguun,-0.0416,42.5945,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, Al Shabaab launched 2 mortar rounds targeting government security forces (SNA) and Jubaland security forces at a base in Bar-Sanguun village (Jamaame, Lower Juba). 3 soldiers were injured, including 2 SNA soldiers and 1 Jubaland soldier.",0,,1768354736
SOM54714,02-January-2026,2026,1,Political violence,Battles,Armed clash,Military Forces of Somalia (2022-),,1,Police Forces of Somalia (2022-),,1,11,,706,Eastern Africa,Somalia,Gedo,Belet Xaawo,,Belet Xaawo,3.7807,41.8943,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, 2 government soldiers (SNA) shot and killed 3 police officers (on-duty) at the border between Kenya and Somalia in Belet Hawa town (Belet Xaawo, Gedo). The local forces apprehended the soldiers.",3,,1768354736
SOM54715,02-January-2026,2026,1,Political violence,Battles,Armed clash,Military Forces of Somalia (2022-) Special Forces,,1,Al Shabaab,,2,12,,706,Eastern Africa,Somalia,Bay,Buur Hakaba,,Buulo Fulaay,2.1106,43.5233,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, government security forces (Danab) clashed with Al Shabaab in Buulo Fulaay town (Buur Hakaba, Bay). The operation was supported by an airstrike from Danab. More than 20 militants were killed. Al Shabaab claimed civilians were killed during the confrontation (unspecified fatalities coded as 3). Fatalities coded as 23 (20 militants + 3 civilians).",23,,1768354736
SOM54716,02-January-2026,2026,1,Political violence,Battles,Armed clash,Dir-Gadabuursi Sub-Clan Militia (Somalia),,4,Dir-Issa Sub-Clan Militia (Somalia),,4,44,,706,Eastern Africa,Somalia,Awdal,Zeylac,,Jidhi,10.6227,43.0706,2,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, Gadabuursi and Issa sub-clans militias of Dir clan clashed in Heemaal village near Jidhi town (Zeylac, Awdal). Casualties unknown.",0,,1768354736
SOM54717,02-January-2026,2026,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,2,AUSSOM: Africa Union Support and Stabilisation Mission in Somalia (2025-) (Uganda),,8,28,,706,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,K60,1.9243,44.9231,2,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, a remote-controlled IED planted by Al Shabaab exploded, targeting AUSSOM UPDF convoy passing near K60 village (Afgooye, Lower Shabelle). Al Shabaab claimed to have killed 2 soldiers and injured another.",2,,1768354736
SOM54718,02-January-2026,2026,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,,706,Eastern Africa,Somalia,Lower Shabelle,Afgooye,,K60,1.9243,44.9231,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, an IED planted by Al Shabaab exploded, targeting government soldiers (SNA) on foot patrol in the vicinity of K60 village (Afgooye, Lower Shabelle). There were no casualties. Al Shabaab claimed responsibility.",0,,1768354736
SOM54719,02-January-2026,2026,1,Political violence,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-) Jubaland Security Force,,1,12,,706,Eastern Africa,Somalia,Lower Juba,Kismaayo,,Kismayo,-0.3603,42.5463,2,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, Al Shabaab clashed with Jubaland security forces at a base in Laba-garas village near Kismayo town (Kismaayo, Lower Juba). Al Shabaab claimed to have killed a soldier and another was injured.",1,,1768354736
SOM54720,02-January-2026,2026,1,Political violence,Violence against civilians,Attack,Military Forces of Somalia (2022-),,1,Civilians (Somalia),,7,17,Civilian targeting,706,Eastern Africa,Somalia,Banadir,Banadir,,Mogadishu - Waaberi,2.0195,45.31,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, a government soldier (SNA), traveling on a motorcycle and armed with an AK-47 rifle, shot and killed a civilian at the Via Liberia junction in Mogadishu - Waaberi (Banadir). The motive is unknown.",1,,1768354736
SOM54721,02-January-2026,2026,1,Political violence,Violence against civilians,Attack,Hawiye-Habar Gedir-Duduble Sub-Clan Militia (Somalia),,4,Civilians (Somalia),Hawiye-Habar Gedir-Saleban Sub-Clan Group (Somalia); Pastoralists (Somalia),7,47,Civilian targeting,706,Eastern Africa,Somalia,Galgaduud,Dhuusamarreeb,,Qaayib,5.4972,47.1472,2,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, Hawiye-Habar Gedir-Duduble sub-clan opened fire on a pastoralist from the Saleebaan clan in the vicinity of Baalal Dheer village, near Qaayib village (Dhuusamarreeb, Galgaduud). The motive was due to clan revenge and land dispute. 1 was killed, and another was injured.",1,,1768354736
SOM54722,02-January-2026,2026,1,Political violence,Explosions/Remote violence,Air/drone strike,Unidentified Military Forces,Military Forces of Somalia (2022-),8,Al Shabaab,,2,28,,706,Eastern Africa,Somalia,Middle Shabelle,Cadale,,Wargaadhi,3.2033,46.5681,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 2 January 2026, overnight, international forces (coded as Unidentified Military Forces) and government security forces (SNA) launched an airstrike against Al Shabaab position in Wargaadhi village (Cadale, Middle Shabelle). Casualties unknown.",0,,1768354736
SOM54609,03-January-2026,2026,1,Political violence,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,,706,Eastern Africa,Somalia,Lower Shabelle,Marka,,Danow,1.7317,44.6253,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 3 January 2026, Al Shabaab clashed with government security forces (SNA) at a base in Danow village (Marka, Lower Shabelle). There were no casualties.",0,,1768354736
SOM54610,03-January-2026,2026,1,Political violence,Battles,Armed clash,Al Shabaab,,2,Military Forces of Somalia (2022-),,1,12,,706,Eastern Africa,Somalia,Lower Shabelle,Marka,,Janaale,1.8,44.7,1,REDACTED IN SAMPLE,REDACTED IN SAMPLE,"On 3 January 2026, Al Shabaab clashed with government security forces (SNA) at a defensive base in the vicinity of Janaale town (Marka, Lower Shabelle). There were no casualties.",0,,1768354736
